date,hour,temperature,altitude,wind,visibility,cloud_cover
01-04-14,0,39.9,30.1,9.21,10,Clear
01-04-14,1,37.9,30.11,6.9,10,Clear
01-04-14,2,37.9,30.11,8.06,10,Clear
01-04-14,3,37.9,30.1,8.06,10,Clear
01-04-14,4,37,30.1,8.06,10,Clear
01-04-14,5,37.9,30.11,6.9,10,Clear
01-04-14,6,37.9,30.12,6.9,10,Mostly Clear
01-04-14,7,41,30.14,9.21,10,Mostly Clear
01-04-14,8,43,30.15,11.5,10,Mostly Clear
01-04-14,9,46,30.13,11.5,10,Mostly Clear
01-04-14,10,48.9,30.13,5.75,10,Mostly Clear
01-04-14,11,51.1,30.1,4.6,10,Partly Cloudy
01-04-14,12,53.1,30.08,0,10,Partly Cloudy
01-04-14,13,57.9,30.06,3.45,10,Mostly Cloudy
01-04-14,14,60.1,30.03,6.9,10,Mostly Cloudy
01-04-14,15,60.1,30.01,0,10,Mostly Cloudy
01-04-14,16,59,29.98,6.9,10,Overcast
01-04-14,17,53.1,30.01,9.21,10,Mostly Cloudy
01-04-14,18,52,30,8.06,10,Mostly Cloudy
01-04-14,19,48.9,30.04,6.9,10,Partly Cloudy
01-04-14,20,46.9,30.07,4.6,10,Partly Cloudy
01-04-14,21,44.1,30.07,5.75,10,Mostly Clear
01-04-14,22,43,30.08,5.75,10,Clear
01-04-14,23,43,30.08,3.45,10,Clear
02-04-14,0,42.1,30.07,0,10,Clear
02-04-14,1,42.1,30.07,3.45,10,Clear
02-04-14,2,41,30.07,0,10,Mostly Clear
02-04-14,3,41,30.06,0,10,Mostly Clear
02-04-14,4,42.1,30.08,0,10,Mostly Cloudy
02-04-14,5,43,30.09,0,10,Overcast
02-04-14,6,43,30.08,3.45,10,Overcast
02-04-14,7,43,30.11,3.45,10,Overcast
02-04-14,8,44.1,30.13,0,10,Overcast
02-04-14,9,45,30.16,4.6,10,Overcast
02-04-14,10,46,30.12,3.45,10,Overcast
02-04-14,11,46.9,30.11,5.75,9,Overcast
02-04-14,12,46.9,30.11,3.45,9,Overcast
02-04-14,13,46.9,30.1,3.45,9,Overcast
02-04-14,14,46.9,30.09,6.9,9,Overcast
02-04-14,15,48.9,30.07,5.75,9,Mostly Cloudy
02-04-14,16,51.1,30.06,3.45,9,Mostly Cloudy
02-04-14,17,52,30.06,3.45,9,Partly Cloudy
02-04-14,18,51.1,30.07,3.45,9,Partly Cloudy
02-04-14,19,51.1,30.07,0,9,Mostly Cloudy
02-04-14,20,48.9,30.08,0,10,Partly Cloudy
02-04-14,21,46.9,30.08,0,10,Partly Cloudy
02-04-14,22,48.9,30.08,3.45,10,Partly Cloudy
02-04-14,23,46,30.08,0,10,Partly Cloudy
03-04-14,0,45,30.09,0,10,Mostly Cloudy
03-04-14,1,43,30.08,4.6,8,Overcast
03-04-14,2,45,30.09,4.6,8,Overcast
03-04-14,3,45,30.08,5.75,8,Overcast
03-04-14,4,45,30.1,6.9,9,Overcast
03-04-14,5,46.9,30.1,6.9,10,Overcast
03-04-14,6,44.1,30.12,6.9,10,Mostly Cloudy
03-04-14,7,46.9,30.13,8.06,10,Mostly Cloudy
03-04-14,8,48.9,30.14,4.6,10,Mostly Cloudy
03-04-14,9,52,30.13,8.06,10,Partly Cloudy
03-04-14,10,55.9,30.13,4.6,10,Partly Cloudy
03-04-14,11,59,30.11,3.45,10,Partly Cloudy
03-04-14,12,57.9,30.07,4.6,10,Partly Cloudy
03-04-14,13,61,30.07,0,10,Mostly Cloudy
03-04-14,14,62.1,30.04,6.9,10,Mostly Cloudy
03-04-14,15,63,30.03,6.9,10,Mostly Cloudy
03-04-14,16,62.1,30.02,10.4,10,Mostly Cloudy
03-04-14,17,59,30.01,4.6,10,Overcast
03-04-14,18,57,30.01,4.6,10,Overcast
03-04-14,19,55.9,30,5.75,10,Overcast
03-04-14,20,54,30.02,0,10,Overcast
03-04-14,21,52,30.04,0,10,Overcast
03-04-14,22,50,30.09,3.45,6,Overcast
03-04-14,23,46.9,30.09,3.45,9,Overcast
